Branch Name,Date,Forecast
Tirunelveli02,01-01-2016,
Tirunelveli03,01-01-2016,
Tirunelveli04,01-01-2016,
Trichy01,01-01-2016,
Trichy02,01-01-2016,
Trichy03,01-01-2016,
Trichy04,01-01-2016,
Bodi01,01-02-2016,
Bodi02,01-02-2016,
Bodi03,01-02-2016,
Bodi04,01-02-2016,
Chennai01,01-02-2016,
Chennai02,01-02-2016,
Chennai03,01-02-2016,
Chennai04,01-02-2016,
Coimbatore01,01-02-2016,
Coimbatore02,01-02-2016,
Coimbatore03,01-02-2016,
Coimbatore04,01-02-2016,
Cumbum01,01-02-2016,
Cumbum02,01-02-2016,
Cumbum03,01-02-2016,
Cumbum04,01-02-2016,
Dharmapuri01,01-02-2016,
Dharmapuri02,01-02-2016,
Dharmapuri03,01-02-2016,
Dharmapuri04,01-02-2016,
Dindigul01,01-02-2016,
Dindigul02,01-02-2016,
Dindigul03,01-02-2016,
Dindigul04,01-02-2016,
Kanyakumari01,01-02-2016,
Kanyakumari02,01-02-2016,
Kanyakumari03,01-02-2016,
Kanyakumari04,01-02-2016,
Karur01,01-02-2016,
Karur02,01-02-2016,
Karur03,01-02-2016,
Karur04,01-02-2016,
Krishnagiri01,01-02-2016,
Krishnagiri02,01-02-2016,
Krishnagiri03,01-02-2016,
Krishnagiri04,01-02-2016,
Madurai01,01-02-2016,
Madurai02,01-02-2016,
Madurai03,01-02-2016,
Madurai04,01-02-2016,
Nagercoil01,01-02-2016,
Nagercoil02,01-02-2016,
Nagercoil03,01-02-2016,
Nagercoil04,01-02-2016,
Namakkal01,01-02-2016,
Namakkal02,01-02-2016,
Namakkal03,01-02-2016,
Namakkal04,01-02-2016,
Ooty01,01-02-2016,
Ooty02,01-02-2016,
Ooty03,01-02-2016,
OOty04,01-02-2016,
Perambalur01,01-02-2016,
Perambalur02,01-02-2016,
Perambalur03,01-02-2016,
Perambalur04,01-02-2016,
Pudukottai01,01-02-2016,
Pudukottai02,01-02-2016,
Pudukottai03,01-02-2016,
Pudukottai04,01-02-2016,
Ramanadhapuram01,01-02-2016,
Ramanadhapuram02,01-02-2016,
Ramanadhapuram03,01-02-2016,
Ramanadhapuram04,01-02-2016,
Salem01,01-02-2016,
Salem02,01-02-2016,
Salem03,01-02-2016,
Salem04,01-02-2016,
Teni01,01-02-2016,
Teni02,01-02-2016,
Teni03,01-02-2016,
Teni04,01-02-2016,
Tenkasi01,01-02-2016,
Tenkasi02,01-02-2016,
Tenkasi03,01-02-2016,
Tenkasi04,01-02-2016,
Tirunelveli01,01-02-2016,
Tirunelveli02,01-02-2016,
Tirunelveli03,01-02-2016,
Tirunelveli04,01-02-2016,
Trichy01,01-02-2016,
Trichy02,01-02-2016,
Trichy03,01-02-2016,
Trichy04,01-02-2016,
Bodi01,01-03-2016,
Bodi02,01-03-2016,
Bodi03,01-03-2016,
Bodi04,01-03-2016,
Chennai01,01-03-2016,
Chennai02,01-03-2016,
Chennai03,01-03-2016,
Chennai04,01-03-2016,
Coimbatore01,01-03-2016,
Coimbatore02,01-03-2016,
Coimbatore03,01-03-2016,
Coimbatore04,01-03-2016,
Cumbum01,01-03-2016,
Cumbum02,01-03-2016,
Cumbum03,01-03-2016,
Cumbum04,01-03-2016,
Dharmapuri01,01-03-2016,
Dharmapuri02,01-03-2016,
Dharmapuri03,01-03-2016,
Dharmapuri04,01-03-2016,
Dindigul01,01-03-2016,
Dindigul02,01-03-2016,
Dindigul03,01-03-2016,
Dindigul04,01-03-2016,
Kanyakumari01,01-03-2016,
Kanyakumari02,01-03-2016,
Kanyakumari03,01-03-2016,
Kanyakumari04,01-03-2016,
Karur01,01-03-2016,
Karur02,01-03-2016,
Karur03,01-03-2016,
Karur04,01-03-2016,
Krishnagiri01,01-03-2016,
Krishnagiri02,01-03-2016,
Krishnagiri03,01-03-2016,
Krishnagiri04,01-03-2016,
Madurai01,01-03-2016,
Madurai02,01-03-2016,
Madurai03,01-03-2016,
Madurai04,01-03-2016,
Nagercoil01,01-03-2016,
Nagercoil02,01-03-2016,
Nagercoil03,01-03-2016,
Nagercoil04,01-03-2016,
Namakkal01,01-03-2016,
Namakkal02,01-03-2016,
Namakkal03,01-03-2016,
Namakkal04,01-03-2016,
Ooty01,01-03-2016,
Ooty02,01-03-2016,
Ooty03,01-03-2016,
OOty04,01-03-2016,
Perambalur01,01-03-2016,
Perambalur02,01-03-2016,
Perambalur03,01-03-2016,
Perambalur04,01-03-2016,
Pudukottai01,01-03-2016,
Pudukottai02,01-03-2016,
Pudukottai03,01-03-2016,
Pudukottai04,01-03-2016,
Ramanadhapuram01,01-03-2016,
Ramanadhapuram02,01-03-2016,
Ramanadhapuram03,01-03-2016,
Ramanadhapuram04,01-03-2016,
Salem01,01-03-2016,
Salem02,01-03-2016,
Salem03,01-03-2016,
Salem04,01-03-2016,
Teni01,01-03-2016,
Teni02,01-03-2016,
Teni03,01-03-2016,
Teni04,01-03-2016,
Tenkasi01,01-03-2016,
Tenkasi02,01-03-2016,
Tenkasi03,01-03-2016,
Tenkasi04,01-03-2016,
Tirunelveli01,01-03-2016,
Tirunelveli02,01-03-2016,
Tirunelveli03,01-03-2016,
Tirunelveli04,01-03-2016,
Trichy01,01-03-2016,
Trichy02,01-03-2016,
Trichy03,01-03-2016,
Trichy04,01-03-2016,
Bodi01,01-04-2016,
Bodi02,01-04-2016,
Bodi03,01-04-2016,
Bodi04,01-04-2016,
Chennai01,01-04-2016,
Chennai02,01-04-2016,
Chennai03,01-04-2016,
Chennai04,01-04-2016,
Coimbatore01,01-04-2016,
Coimbatore02,01-04-2016,
Coimbatore03,01-04-2016,
Coimbatore04,01-04-2016,
Cumbum01,01-04-2016,
Cumbum02,01-04-2016,
Cumbum03,01-04-2016,
Cumbum04,01-04-2016,
Dharmapuri01,01-04-2016,
Dharmapuri02,01-04-2016,
Dharmapuri03,01-04-2016,
Dharmapuri04,01-04-2016,
Dindigul01,01-04-2016,
Dindigul02,01-04-2016,
Dindigul03,01-04-2016,
Dindigul04,01-04-2016,
Kanyakumari01,01-04-2016,
Kanyakumari02,01-04-2016,
Kanyakumari03,01-04-2016,
Kanyakumari04,01-04-2016,
Karur01,01-04-2016,
Karur02,01-04-2016,
Karur03,01-04-2016,
Karur04,01-04-2016,
Krishnagiri01,01-04-2016,
Krishnagiri02,01-04-2016,
Krishnagiri03,01-04-2016,
Krishnagiri04,01-04-2016,
Madurai01,01-04-2016,
Madurai02,01-04-2016,
Madurai03,01-04-2016,
Madurai04,01-04-2016,
Nagercoil01,01-04-2016,
Nagercoil02,01-04-2016,
Nagercoil03,01-04-2016,
Nagercoil04,01-04-2016,
Namakkal01,01-04-2016,
Namakkal02,01-04-2016,
Namakkal03,01-04-2016,
Namakkal04,01-04-2016,
Ooty01,01-04-2016,
Ooty02,01-04-2016,
Ooty03,01-04-2016,
OOty04,01-04-2016,
Perambalur01,01-04-2016,
Perambalur02,01-04-2016,
Perambalur03,01-04-2016,
Perambalur04,01-04-2016,
Pudukottai01,01-04-2016,
Pudukottai02,01-04-2016,
Pudukottai03,01-04-2016,
Pudukottai04,01-04-2016,
Ramanadhapuram01,01-04-2016,
Ramanadhapuram02,01-04-2016,
Ramanadhapuram03,01-04-2016,
Ramanadhapuram04,01-04-2016,
Salem01,01-04-2016,
Salem02,01-04-2016,
Salem03,01-04-2016,
Salem04,01-04-2016,
Teni01,01-04-2016,
Teni02,01-04-2016,
Teni03,01-04-2016,
Teni04,01-04-2016,
Tenkasi01,01-04-2016,
Tenkasi02,01-04-2016,
Tenkasi03,01-04-2016,
Tenkasi04,01-04-2016,
Tirunelveli01,01-04-2016,
Tirunelveli02,01-04-2016,
Tirunelveli03,01-04-2016,
Tirunelveli04,01-04-2016,
Trichy01,01-04-2016,
Trichy02,01-04-2016,
Trichy03,01-04-2016,
Trichy04,01-04-2016,
Bodi01,01-05-2016,
Bodi02,01-05-2016,
Bodi03,01-05-2016,
Bodi04,01-05-2016,
Chennai01,01-05-2016,
Chennai02,01-05-2016,
Chennai03,01-05-2016,
Chennai04,01-05-2016,
Coimbatore01,01-05-2016,
Coimbatore02,01-05-2016,
Coimbatore03,01-05-2016,
Coimbatore04,01-05-2016,
Cumbum01,01-05-2016,
Cumbum02,01-05-2016,
Cumbum03,01-05-2016,
Cumbum04,01-05-2016,
Dharmapuri01,01-05-2016,
Dharmapuri02,01-05-2016,
Dharmapuri03,01-05-2016,
Dharmapuri04,01-05-2016,
Dindigul01,01-05-2016,
Dindigul02,01-05-2016,
Dindigul03,01-05-2016,
Dindigul04,01-05-2016,
Kanyakumari01,01-05-2016,
Kanyakumari02,01-05-2016,
Kanyakumari03,01-05-2016,
Kanyakumari04,01-05-2016,
Karur01,01-05-2016,
Karur02,01-05-2016,
Karur03,01-05-2016,
Karur04,01-05-2016,
Krishnagiri01,01-05-2016,
Krishnagiri02,01-05-2016,
Krishnagiri03,01-05-2016,
Krishnagiri04,01-05-2016,
Madurai01,01-05-2016,
Madurai02,01-05-2016,
Madurai03,01-05-2016,
Madurai04,01-05-2016,
Nagercoil01,01-05-2016,
Nagercoil02,01-05-2016,
Nagercoil03,01-05-2016,
Nagercoil04,01-05-2016,
Namakkal01,01-05-2016,
Namakkal02,01-05-2016,
Namakkal03,01-05-2016,
Namakkal04,01-05-2016,
Ooty01,01-05-2016,
Ooty02,01-05-2016,
Ooty03,01-05-2016,
OOty04,01-05-2016,
Perambalur01,01-05-2016,
Perambalur02,01-05-2016,
Perambalur03,01-05-2016,
Perambalur04,01-05-2016,
Pudukottai01,01-05-2016,
Pudukottai02,01-05-2016,
Pudukottai03,01-05-2016,
Pudukottai04,01-05-2016,
Ramanadhapuram01,01-05-2016,
Ramanadhapuram02,01-05-2016,
Ramanadhapuram03,01-05-2016,
Ramanadhapuram04,01-05-2016,
Salem01,01-05-2016,
Salem02,01-05-2016,
Salem03,01-05-2016,
Salem04,01-05-2016,
Teni01,01-05-2016,
Teni02,01-05-2016,
Teni03,01-05-2016,
Teni04,01-05-2016,
Tenkasi01,01-05-2016,
Tenkasi02,01-05-2016,
Tenkasi03,01-05-2016,
Tenkasi04,01-05-2016,
Tirunelveli01,01-05-2016,
Tirunelveli02,01-05-2016,
Tirunelveli03,01-05-2016,
Tirunelveli04,01-05-2016,
Trichy01,01-05-2016,
Trichy02,01-05-2016,
Trichy03,01-05-2016,
Bodi01,01-06-2016,
Bodi02,01-06-2016,
Bodi03,01-06-2016,
Bodi04,01-06-2016,
Chennai01,01-06-2016,
Chennai02,01-06-2016,
Chennai03,01-06-2016,
Chennai04,01-06-2016,
Coimbatore01,01-06-2016,
Coimbatore02,01-06-2016,
Coimbatore03,01-06-2016,
Coimbatore04,01-06-2016,
Cumbum01,01-06-2016,
Cumbum02,01-06-2016,
Cumbum03,01-06-2016,
Cumbum04,01-06-2016,
Dharmapuri01,01-06-2016,
Dharmapuri02,01-06-2016,
Dharmapuri03,01-06-2016,
Dharmapuri04,01-06-2016,
Dindigul01,01-06-2016,
Dindigul02,01-06-2016,
Dindigul03,01-06-2016,
Dindigul04,01-06-2016,
Kanyakumari01,01-06-2016,
Kanyakumari02,01-06-2016,
Kanyakumari03,01-06-2016,
Kanyakumari04,01-06-2016,
Karur01,01-06-2016,
Karur02,01-06-2016,
Karur03,01-06-2016,
Karur04,01-06-2016,
Krishnagiri01,01-06-2016,
Krishnagiri02,01-06-2016,
Krishnagiri03,01-06-2016,
Krishnagiri04,01-06-2016,
Madurai01,01-06-2016,
Madurai02,01-06-2016,
Madurai03,01-06-2016,
Madurai04,01-06-2016,
Nagercoil01,01-06-2016,
Nagercoil02,01-06-2016,
Nagercoil03,01-06-2016,
Nagercoil04,01-06-2016,
Namakkal01,01-06-2016,
Namakkal02,01-06-2016,
Namakkal03,01-06-2016,
Namakkal04,01-06-2016,
Ooty01,01-06-2016,
Ooty02,01-06-2016,
Ooty03,01-06-2016,
OOty04,01-06-2016,
Perambalur01,01-06-2016,
Perambalur02,01-06-2016,
Perambalur03,01-06-2016,
Perambalur04,01-06-2016,
Pudukottai01,01-06-2016,
Pudukottai02,01-06-2016,
Pudukottai03,01-06-2016,
Pudukottai04,01-06-2016,
Ramanadhapuram01,01-06-2016,
Ramanadhapuram02,01-06-2016,
Ramanadhapuram03,01-06-2016,
Ramanadhapuram04,01-06-2016,
Salem01,01-06-2016,
Salem02,01-06-2016,
Salem03,01-06-2016,
Salem04,01-06-2016,
Teni01,01-06-2016,
Teni02,01-06-2016,
Teni03,01-06-2016,
Teni04,01-06-2016,
Tenkasi01,01-06-2016,
Tenkasi02,01-06-2016,
Tenkasi03,01-06-2016,
Tenkasi04,01-06-2016,
Tirunelveli01,01-06-2016,
Tirunelveli02,01-06-2016,
Tirunelveli03,01-06-2016,
Tirunelveli04,01-06-2016,
Trichy01,01-06-2016,
Trichy02,01-06-2016,
Trichy03,01-06-2016,
Bodi01,01-07-2016,40274.33463
Bodi02,01-07-2016,38115.45845
Bodi03,01-07-2016,44624.69235
Bodi04,01-07-2016,29592.62133
Chennai01,01-07-2016,53903.84568
Chennai02,01-07-2016,41076.45568
Chennai03,01-07-2016,39684.41715
Chennai04,01-07-2016,39984.74105
Coimbatore01,01-07-2016,38733.8458
Coimbatore02,01-07-2016,47769.4126
Coimbatore03,01-07-2016,51562.17545
Coimbatore04,01-07-2016,31429.8394
Cumbum01,01-07-2016,38263.2223
Cumbum02,01-07-2016,37980.02143
Cumbum03,01-07-2016,29133.66553
Cumbum04,01-07-2016,43830.70058
Dharmapuri01,01-07-2016,25062.22005
Dharmapuri02,01-07-2016,38301.7106
Dharmapuri03,01-07-2016,36870.1904
Dharmapuri04,01-07-2016,51033.25215
Dindigul01,01-07-2016,32246.00235
Dindigul02,01-07-2016,54179.81843
Dindigul03,01-07-2016,49276.9332
Dindigul04,01-07-2016,49573.24558
Kanyakumari01,01-07-2016,39907.73713
Kanyakumari02,01-07-2016,38517.02298
Kanyakumari03,01-07-2016,46851.80813
Kanyakumari04,01-07-2016,27999.16268
Karur01,01-07-2016,52509.7109
Karur02,01-07-2016,45839.91078
Karur03,01-07-2016,44395.7288
Karur04,01-07-2016,36084.80475
Krishnagiri01,01-07-2016,31906.98328
Krishnagiri02,01-07-2016,41688.48935
Krishnagiri03,01-07-2016,51488.4715
Krishnagiri04,01-07-2016,34065.42423
Madurai01,01-07-2016,41771.94283
Madurai02,01-07-2016,38530.7885
Madurai03,01-07-2016,44463.10085
Madurai04,01-07-2016,32282.57
Nagercoil01,01-07-2016,36746.42195
Nagercoil02,01-07-2016,44625.98558
Nagercoil03,01-07-2016,32630.43085
Nagercoil04,01-07-2016,30192.6411
Namakkal01,01-07-2016,36705.8426
Namakkal02,01-07-2016,37401.07855
Namakkal03,01-07-2016,58857.01955
Namakkal04,01-07-2016,24391.0431
Ooty01,01-07-2016,40292.196
Ooty02,01-07-2016,39876.58178
Ooty03,01-07-2016,42038.57943
OOty04,01-07-2016,36081.86798
Perambalur01,01-07-2016,48698.34215
Perambalur02,01-07-2016,45995.9802
Perambalur03,01-07-2016,38917.9076
Perambalur04,01-07-2016,34048.54625
Pudukottai01,01-07-2016,54073.73388
Pudukottai02,01-07-2016,46018.39935
Pudukottai03,01-07-2016,46168.2981
Pudukottai04,01-07-2016,32148.26753
Ramanadhapuram01,01-07-2016,48240.26125
Ramanadhapuram02,01-07-2016,44428.41185
Ramanadhapuram03,01-07-2016,54449.0795
Ramanadhapuram04,01-07-2016,39379.8309
Salem01,01-07-2016,37591.65855
Salem02,01-07-2016,51105.91715
Salem03,01-07-2016,51396.8631
Salem04,01-07-2016,24666.25928
Teni01,01-07-2016,29864.86385
Teni02,01-07-2016,31756.35388
Teni03,01-07-2016,39788.63685
Teni04,01-07-2016,45119.33483
Tenkasi01,01-07-2016,49984.85265
Tenkasi02,01-07-2016,45525.94028
Tenkasi03,01-07-2016,40107.8233
Tenkasi04,01-07-2016,34640.6777
Tirunelveli01,01-07-2016,47284.5066
Tirunelveli02,01-07-2016,53931.30668
Tirunelveli03,01-07-2016,32078.76968
Tirunelveli04,01-07-2016,50756.86485
Trichy01,01-07-2016,40171.47283
Trichy02,01-07-2016,38985.56148
Trichy03,01-07-2016,33114.69928
Bodi01,01-08-2016,40274.33463
Bodi02,01-08-2016,38115.45845
Bodi03,01-08-2016,44624.69235
Bodi04,01-08-2016,29592.62133
Chennai01,01-08-2016,53903.84568
Chennai02,01-08-2016,41076.45568
Chennai03,01-08-2016,39684.41715
Chennai04,01-08-2016,39984.74105
Coimbatore01,01-08-2016,38733.8458
Coimbatore02,01-08-2016,47769.4126
Coimbatore03,01-08-2016,51562.17545
Coimbatore04,01-08-2016,31429.8394
Cumbum01,01-08-2016,38263.2223
Cumbum02,01-08-2016,37980.02143
Cumbum03,01-08-2016,29133.66553
Cumbum04,01-08-2016,43830.70058
Dharmapuri01,01-08-2016,25062.22005
Dharmapuri02,01-08-2016,38301.7106
Dharmapuri03,01-08-2016,36870.1904
Dharmapuri04,01-08-2016,51033.25215
Dindigul01,01-08-2016,32246.00235
Dindigul02,01-08-2016,54179.81843
Dindigul03,01-08-2016,49276.9332
Dindigul04,01-08-2016,49573.24558
Kanyakumari01,01-08-2016,39907.73713
Kanyakumari02,01-08-2016,38517.02298
Kanyakumari03,01-08-2016,46851.80813
Kanyakumari04,01-08-2016,27999.16268
Karur01,01-08-2016,52509.7109
Karur02,01-08-2016,45839.91078
Karur03,01-08-2016,44395.7288
Karur04,01-08-2016,36084.80475
Krishnagiri01,01-08-2016,31906.98328
Krishnagiri02,01-08-2016,41688.48935
Krishnagiri03,01-08-2016,51488.4715
Krishnagiri04,01-08-2016,34065.42423
Madurai01,01-08-2016,41771.94283
Madurai02,01-08-2016,38530.7885
Madurai03,01-08-2016,44463.10085
Madurai04,01-08-2016,32282.57
Nagercoil01,01-08-2016,36746.42195
Nagercoil02,01-08-2016,44625.98558
Nagercoil03,01-08-2016,32630.43085
Nagercoil04,01-08-2016,30192.6411
Namakkal01,01-08-2016,36705.8426
Namakkal02,01-08-2016,37401.07855
Namakkal03,01-08-2016,58857.01955
Namakkal04,01-08-2016,24391.0431
Ooty01,01-08-2016,40292.196
Ooty02,01-08-2016,39876.58178
Ooty03,01-08-2016,42038.57943
OOty04,01-08-2016,36081.86798
Perambalur01,01-08-2016,48698.34215
Perambalur02,01-08-2016,45995.9802
Perambalur03,01-08-2016,38917.9076
Perambalur04,01-08-2016,34048.54625
Pudukottai01,01-08-2016,54073.73388
Pudukottai02,01-08-2016,46018.39935
Pudukottai03,01-08-2016,46168.2981
Pudukottai04,01-08-2016,32148.26753
Ramanadhapuram01,01-08-2016,48240.26125
Ramanadhapuram02,01-08-2016,44428.41185
Ramanadhapuram03,01-08-2016,54449.0795
Ramanadhapuram04,01-08-2016,39379.8309
Salem01,01-08-2016,37591.65855
Salem02,01-08-2016,51105.91715
Salem03,01-08-2016,51396.8631
Salem04,01-08-2016,24666.25928
Teni01,01-08-2016,29864.86385
Teni02,01-08-2016,31756.35388
Teni03,01-08-2016,39788.63685
Teni04,01-08-2016,45119.33483
Tenkasi01,01-08-2016,49984.85265
Tenkasi02,01-08-2016,45525.94028
Tenkasi03,01-08-2016,40107.8233
Tenkasi04,01-08-2016,34640.6777
Tirunelveli01,01-08-2016,47284.5066
Tirunelveli02,01-08-2016,53931.30668
Tirunelveli03,01-08-2016,32078.76968
Tirunelveli04,01-08-2016,50756.86485
Trichy01,01-08-2016,40171.47283
Trichy02,01-08-2016,38985.56148
Trichy03,01-08-2016,33114.69928
Bodi01,01-09-2016,40274.33463
Bodi02,01-09-2016,38115.45845
Bodi03,01-09-2016,44624.69235
Bodi04,01-09-2016,29592.62133
Chennai01,01-09-2016,53903.84568
Chennai02,01-09-2016,41076.45568
Chennai03,01-09-2016,39684.41715
Chennai04,01-09-2016,39984.74105
Coimbatore01,01-09-2016,38733.8458
Coimbatore02,01-09-2016,47769.4126
Coimbatore03,01-09-2016,51562.17545
Coimbatore04,01-09-2016,31429.8394
Cumbum01,01-09-2016,38263.2223
Cumbum02,01-09-2016,37980.02143
Cumbum03,01-09-2016,29133.66553
Cumbum04,01-09-2016,43830.70058
Dharmapuri01,01-09-2016,25062.22005
Dharmapuri02,01-09-2016,38301.7106
Dharmapuri03,01-09-2016,36870.1904
Dharmapuri04,01-09-2016,51033.25215
Dindigul01,01-09-2016,32246.00235
Dindigul02,01-09-2016,54179.81843
Dindigul03,01-09-2016,49276.9332
Dindigul04,01-09-2016,49573.24558
Kanyakumari01,01-09-2016,39907.73713
Kanyakumari02,01-09-2016,38517.02298
Kanyakumari03,01-09-2016,46851.80813
Kanyakumari04,01-09-2016,27999.16268
Karur01,01-09-2016,52509.7109
Karur02,01-09-2016,45839.91078
Karur03,01-09-2016,44395.7288
Karur04,01-09-2016,36084.80475
Krishnagiri01,01-09-2016,31906.98328
Krishnagiri02,01-09-2016,41688.48935
Krishnagiri03,01-09-2016,51488.4715
Krishnagiri04,01-09-2016,34065.42423
Madurai01,01-09-2016,41771.94283
Madurai02,01-09-2016,38530.7885
Madurai03,01-09-2016,44463.10085
Madurai04,01-09-2016,32282.57
Nagercoil01,01-09-2016,36746.42195
Nagercoil02,01-09-2016,44625.98558
Nagercoil03,01-09-2016,32630.43085
Nagercoil04,01-09-2016,30192.6411
Namakkal01,01-09-2016,36705.8426
Namakkal02,01-09-2016,37401.07855
Namakkal03,01-09-2016,58857.01955
Namakkal04,01-09-2016,24391.0431
Ooty01,01-09-2016,40292.196
Ooty02,01-09-2016,39876.58178
Ooty03,01-09-2016,42038.57943
OOty04,01-09-2016,36081.86798
Perambalur01,01-09-2016,48698.34215
Perambalur02,01-09-2016,45995.9802
Perambalur03,01-09-2016,38917.9076
Perambalur04,01-09-2016,34048.54625
Pudukottai01,01-09-2016,54073.73388
Pudukottai02,01-09-2016,46018.39935
Pudukottai03,01-09-2016,46168.2981
Pudukottai04,01-09-2016,32148.26753
Ramanadhapuram01,01-09-2016,48240.26125
Ramanadhapuram02,01-09-2016,44428.41185
Ramanadhapuram03,01-09-2016,54449.0795
Ramanadhapuram04,01-09-2016,39379.8309
Salem01,01-09-2016,37591.65855
Salem02,01-09-2016,51105.91715
Salem03,01-09-2016,51396.8631
Salem04,01-09-2016,24666.25928
Teni01,01-09-2016,29864.86385
Teni02,01-09-2016,31756.35388
Teni03,01-09-2016,39788.63685
Teni04,01-09-2016,45119.33483
Tenkasi01,01-09-2016,49984.85265
Tenkasi02,01-09-2016,45525.94028
Tenkasi03,01-09-2016,40107.8233
Tenkasi04,01-09-2016,34640.6777
Tirunelveli01,01-09-2016,47284.5066
Tirunelveli02,01-09-2016,53931.30668
Tirunelveli03,01-09-2016,32078.76968
Tirunelveli04,01-09-2016,50756.86485
Trichy01,01-09-2016,40171.47283
Trichy02,01-09-2016,38985.56148
Trichy03,01-09-2016,33114.69928
Bodi01,01-10-2016,40274.33463
Bodi02,01-10-2016,38115.45845
Bodi03,01-10-2016,44624.69235
Bodi04,01-10-2016,29592.62133
Chennai01,01-10-2016,53903.84568
Chennai02,01-10-2016,41076.45568
Chennai03,01-10-2016,39684.41715
Chennai04,01-10-2016,39984.74105
Coimbatore01,01-10-2016,38733.8458
Coimbatore02,01-10-2016,47769.4126
Coimbatore03,01-10-2016,51562.17545
Coimbatore04,01-10-2016,31429.8394
Cumbum01,01-10-2016,38263.2223
Cumbum02,01-10-2016,37980.02143
Cumbum03,01-10-2016,29133.66553
Cumbum04,01-10-2016,43830.70058
Dharmapuri01,01-10-2016,25062.22005
Dharmapuri02,01-10-2016,38301.7106
Dharmapuri03,01-10-2016,36870.1904
Dharmapuri04,01-10-2016,51033.25215
Dindigul01,01-10-2016,32246.00235
Dindigul02,01-10-2016,54179.81843
Dindigul03,01-10-2016,49276.9332
Dindigul04,01-10-2016,49573.24558
Kanyakumari01,01-10-2016,39907.73713
Kanyakumari02,01-10-2016,38517.02298
Kanyakumari03,01-10-2016,46851.80813
Kanyakumari04,01-10-2016,27999.16268
Karur01,01-10-2016,52509.7109
Karur02,01-10-2016,45839.91078
Karur03,01-10-2016,44395.7288
Karur04,01-10-2016,36084.80475
Krishnagiri01,01-10-2016,31906.98328
Krishnagiri02,01-10-2016,41688.48935
Krishnagiri03,01-10-2016,51488.4715
Krishnagiri04,01-10-2016,34065.42423
Madurai01,01-10-2016,41771.94283
Madurai02,01-10-2016,38530.7885
Madurai03,01-10-2016,44463.10085
Madurai04,01-10-2016,32282.57
Nagercoil01,01-10-2016,36746.42195
Nagercoil02,01-10-2016,44625.98558
Nagercoil03,01-10-2016,32630.43085
Nagercoil04,01-10-2016,30192.6411
Namakkal01,01-10-2016,36705.8426
Namakkal02,01-10-2016,37401.07855
Namakkal03,01-10-2016,58857.01955
Namakkal04,01-10-2016,24391.0431
Ooty01,01-10-2016,40292.196
Ooty02,01-10-2016,39876.58178
Ooty03,01-10-2016,42038.57943
OOty04,01-10-2016,36081.86798
Perambalur01,01-10-2016,48698.34215
Perambalur02,01-10-2016,45995.9802
Perambalur03,01-10-2016,38917.9076
Perambalur04,01-10-2016,34048.54625
Pudukottai01,01-10-2016,54073.73388
Pudukottai02,01-10-2016,46018.39935
Pudukottai03,01-10-2016,46168.2981
Pudukottai04,01-10-2016,32148.26753
Ramanadhapuram01,01-10-2016,48240.26125
Ramanadhapuram02,01-10-2016,44428.41185
Ramanadhapuram03,01-10-2016,54449.0795
